Global,14433317,1534672800000,-388611,-348950,-664943,-81478,-63409,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,15170226,1534694400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,15170226,1534694400000,-407313,-478104,-1168212,-126153,-104517,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,15782548,1534712399000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Global,15782548,1534712399000,-432872,-579841,-1590536,-160161,-133211,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,1,0,0
Local,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,2,0,0
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,2,0,0
Local,919597,1534230000000,2064074,5055453,1221739,1892431,1732614,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,2,0,0
Global,919597,1534230000000,2064074,5055453,1221739,1892431,1732614,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,2,0,0
Local,2159970,1534251600000,1845567,4629978,914271,1792850,1543273,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,2,0,0
Global,2159970,1534251600000,1845567,4629978,914271,1792850,1543273,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,2,0,0
Local,2912107,1534273200000,1800773,4281930,695700,1673662,1521738,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,2,0,0
Global,2912107,1534273200000,1800773,4281930,695700,1673662,1521738,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,2,0,0
Local,3176462,1534283997000,1783279,4154789,616447,1643308,1511625,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,2,0,0
Global,3176462,1534283997000,1783279,4154789,616447,1643308,1511625,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,2,0,0
Local,3361164,1534305600000,1755816,4087731,542207,1631121,1507872,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,2,0,0
Global,3361164,1534305600000,1755816,4087731,542207,1631121,1507872,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,2,0,0
Local,4267029,1534327200000,1703559,3718584,173875,1605635,1417230,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.0,0.0,Hindsight,2,0,0
