Type,Timestamp,TotalImpressions,866128,856805,847460,858140,865041,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart,SimulationType
Global,9178522,1534485899000,457365,810837,-591571,-404199,302487,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,9393484,1534489716000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,9393484,1534489716000,410381,698416,-591571,-404199,246930,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,9572684,1534492800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,9572684,1534492800000,370652,601252,-591571,-404199,204624,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,10549106,1534514400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,10549106,1534514400000,117555,118647,-591571,-404199,-36095,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,11220337,1534536000000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,11220337,1534536000000,-64274,-207325,-591571,-404199,-199524,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,11331020,1534539599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,11331020,1534539599000,-94788,-262715,-591571,-404199,-224303,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,11538116,1534561200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,11538116,1534561200000,-109585,-288520,-745419,-413803,-227344,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,12131153,1534582800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,12131153,1534582800000,-142457,-348362,-1215188,-439468,-232232,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,12921745,1534604400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,12921745,1534604400000,-180558,-466443,-1786589,-484786,-249922,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,13594727,1534626000000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,13594727,1534626000000,-218038,-557917,-2266044,-535498,-263782,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,13646663,1534629599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,13646663,1534629599000,-219883,-565041,-2302951,-540256,-265084,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,13812775,1534651200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,13812775,1534651200000,-229602,-581894,-2404779,-563477,-279574,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,14433317,1534672800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,14433317,1534672800000,-250872,-642919,-2804426,-657305,-324345,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,15170226,1534694400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,15170226,1534694400000,-274502,-709845,-3268240,-754694,-409494,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,15782548,1534712399000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,15782548,1534712399000,-317949,-768392,-3655931,-833697,-453128,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,356003,1534208400000,261177,637798,198376,251262,217623,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,356003,1534208400000,1567064,3826792,1190259,1507575,1305738,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,919597,1534230000000,193140,458373,55542,99232,196356,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,919597,1534230000000,1499027,3647367,1047425,1355545,1284471,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,1033123,1534232103000,187100,433263,0,75242,193512,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,1033123,1534232103000,1492987,3622257,991883,1331555,1281627,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,1417524,1534239152000,166422,344342,0,0,182713,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,1417524,1534239152000,1472309,3533336,803122,1256313,1270828,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,2159970,1534251600000,120158,196602,0,0,168179,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,2159970,1534251600000,1426045,3385596,403309,1122219,1256294,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,2860740,1534271468000,71421,0,0,0,141936,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,2860740,1534271468000,1377308,3188994,77391,1018949,1230051,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,2912107,1534273200000,68264,0,0,0,139925,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,2912107,1534273200000,1374151,3171256,55914,1011966,1228040,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,3176462,1534283997000,53456,0,0,0,129791,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,3176462,1534283997000,1359343,3083261,-59154,975616,1217906,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,3361164,1534305600000,224820,525964,0,161802,230114,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,3361164,1534305600000,1312295,2992573,-59331,942295,1204439,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,3676046,1534314971000,208059,394950,0,0,226232,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,3676046,1534314971000,1295534,2861559,-60754,780493,1200557,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,4267029,1534327200000,180900,199876,0,0,218086,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,4267029,1534327200000,1268375,2666485,-63423,422559,1192411,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,4843974,1534337069000,143164,0,0,0,211096,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,4843974,1534337069000,1230639,2466609,-65916,92709,1185421,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,5314011,1534348800000,113707,0,0,0,206940,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Global,5314011,1534348800000,1201182,2305963,-67546,-181438,1181265,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
Local,5726250,1534363199000,78575,0,0,0,202971,LinUCB_Disjoint_Multi_Target,6,0.0001,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
