Type,Timestamp,TotalImpressions,866128,856805,847460,858140,865041,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart,SimulationType
Global,2912107,1534273200000,1809896,4601486,695982,1370400,1496039,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,3176462,1534283997000,1781164,4546876,584515,1322861,1474032,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,3176462,1534283997000,1781164,4546876,584515,1322861,1474032,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,3361164,1534305600000,1749104,4503808,524256,1279187,1468392,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,3361164,1534305600000,1749104,4503808,524256,1279187,1468392,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,4267029,1534327200000,1692446,4358989,96594,1040154,1430700,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,4267029,1534327200000,1692446,4358989,96594,1040154,1430700,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,5314011,1534348800000,1582554,4184137,0,810199,1348615,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,5314011,1534348800000,1582554,4184137,-353603,810199,1348615,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,5726250,1534363199000,1532647,4091892,0,719938,1328424,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,5726250,1534363199000,1532647,4091892,-513238,719938,1328424,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,5979990,1534384801000,1499719,4017389,0,685860,1282770,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,5979990,1534384801000,1499719,4017389,-579814,685860,1282770,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,6734652,1534406401000,1426065,3815384,0,538506,1157130,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,6734652,1534406401000,1426065,3815384,-785822,538506,1157130,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,7863533,1534428001000,1311285,3496250,0,308017,1050067,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,7863533,1534428001000,1311285,3496250,-1143236,308017,1050067,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,8560378,1534449599000,1217264,3271820,0,198269,996058,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,8560378,1534449599000,1217264,3271820,-1357873,198269,996058,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,8811097,1534471200000,1141918,3232156,0,143485,985800,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,8811097,1534471200000,1141918,3232156,-1428539,143485,985800,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,9572684,1534492800000,1049437,3118621,0,0,922807,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,9572684,1534492800000,1049437,3118621,-1764700,-12931,922807,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,10549106,1534514400000,955654,2933936,0,0,828495,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,10549106,1534514400000,955654,2933936,-2173494,-207778,828495,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,11220337,1534536000000,879670,2826938,0,0,746671,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,11220337,1534536000000,879670,2826938,-2418208,-369488,746671,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,11331020,1534539599000,864680,2807475,0,0,733714,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,11331020,1534539599000,864680,2807475,-2454478,-396491,733714,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,11538116,1534561200000,840628,2766006,0,0,726196,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,11538116,1534561200000,840628,2766006,-2572943,-412082,726196,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,12131153,1534582800000,790196,2666097,0,0,712472,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,12131153,1534582800000,790196,2666097,-2963469,-450527,712472,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,12921745,1534604400000,730687,2533222,0,0,693862,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,12921745,1534604400000,730687,2533222,-3481522,-512071,693862,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,13594727,1534626000000,678958,2433058,0,0,679299,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,13594727,1534626000000,678958,2433058,-3930262,-569856,679299,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,13646663,1534629599000,676450,2425391,0,0,677260,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,13646663,1534629599000,676450,2425391,-3965653,-574187,677260,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,13812775,1534651200000,650956,2404564,0,0,663634,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,13812775,1534651200000,650956,2404564,-4060657,-585347,663634,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,14433317,1534672800000,600479,2317253,0,0,610212,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,14433317,1534672800000,600479,2317253,-4449085,-626250,610212,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,15170226,1534694400000,534675,2243247,0,0,556468,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,15170226,1534694400000,534675,2243247,-4921283,-697406,556468,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,15782548,1534712399000,472077,2181291,0,0,513376,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Global,15782548,1534712399000,472077,2181291,-5311858,-751507,513376,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0,Hindsight
Local,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,356003,1534208400000,2089419,5102389,1587012,2010100,1740984,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,919597,1534230000000,2040209,4915446,1396929,1903762,1709965,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,919597,1534230000000,2040209,4915446,1396929,1903762,1709965,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,2159970,1534251600000,1831360,4915444,1396922,1897286,684927,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,2159970,1534251600000,1831360,4915444,1396922,1897286,684927,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,2912107,1534273200000,1830506,4799568,1348771,1310031,684927,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,2912107,1534273200000,1830506,4799568,1348771,1310031,684927,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,3176462,1534283997000,1789675,4778707,1146108,1310031,684927,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,3176462,1534283997000,1789675,4778707,1146108,1310031,684927,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,3361164,1534305600000,1755118,4647507,1128056,1309139,684927,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,3361164,1534305600000,1755118,4647507,1128056,1309139,684927,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,4267029,1534327200000,1615907,4622372,407717,1292798,680089,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,4267029,1534327200000,1615907,4622372,407717,1292798,680089,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,5314011,1534348800000,1613962,4066612,404527,873170,613631,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,5314011,1534348800000,1613962,4066612,404527,873170,613631,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,5726250,1534363199000,1305598,4065380,355272,851273,582140,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,5726250,1534363199000,1305598,4065380,355272,851273,582140,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,5979990,1534384801000,1282513,4037782,323690,728732,533207,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,5979990,1534384801000,1282513,4037782,323690,728732,533207,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Local,6734652,1534406401000,1038678,3805223,155271,660457,491634,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
Global,6734652,1534406401000,1038678,3805223,155271,660457,491634,LinUCB_Disjoint_Multi,6,1,0.0,0.0,0.0,Hindsight
