Type,Timestamp,TotalImpressions,866128,856805,847460,858140,865041,Method,Hours,Alpha,EqClicks,TrainPart,RecommendationPart,SimulationType
Local,4267029,1534327200000,1306671,4320672,807776,1226049,957715,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,4267029,1534327200000,1306671,4320672,807776,1226049,957715,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,5314011,1534348800000,1097974,4112617,597562,1014669,749080,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,5314011,1534348800000,1097974,4112617,597562,1014669,749080,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,5726250,1534363199000,1016059,4030840,514880,931563,666321,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,5726250,1534363199000,1016059,4030840,514880,931563,666321,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,5979990,1534384801000,965709,3980194,462651,880907,616463,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,5979990,1534384801000,965709,3980194,462651,880907,616463,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,6734652,1534406401000,814970,3828650,310444,730640,466559,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,6734652,1534406401000,814970,3828650,310444,730640,466559,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,7863533,1534428001000,590453,3603596,83170,503775,241389,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,7863533,1534428001000,590453,3603596,83170,503775,241389,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,8560378,1534449599000,451733,3463669,0,364946,102960,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,8560378,1534449599000,451733,3463669,-57770,364946,102960,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,8811097,1534471200000,402142,3413176,0,314912,52630,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,8811097,1534471200000,402142,3413176,-108040,314912,52630,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,9572684,1534492800000,250255,3260512,0,161956,0,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,9572684,1534492800000,250255,3260512,-260677,161956,-98812,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,10549106,1534514400000,57496,3066204,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,10549106,1534514400000,57496,3066204,-456910,-35103,-294874,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,11220337,1534536000000,0,2931646,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,11220337,1534536000000,-78073,2931646,-589468,-169427,-429095,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,11331020,1534539599000,0,2909152,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,11331020,1534539599000,-100284,2909152,-611338,-191483,-451147,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,11538116,1534561200000,0,2867604,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,11538116,1534561200000,-141526,2867604,-652091,-233640,-492542,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,12131153,1534582800000,0,2748896,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Global,12131153,1534582800000,-260892,2748896,-770411,-352028,-610796,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
Local,12921745,1534604400000,0,2589481,0,0,0,Random_Multi,6,0.0,0.0,0.0,0.0,Hindsight
