Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,CropPercent,NormalizeTargetValue,TrainPart,RecommendationPart
4085,1866916,13300000,1534616341000,0.00243,0.00219,0.97,2.91e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4147,1880712,13400000,1534619443000,0.00449,0.00221,0.971,2.91e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4183,1895216,13500000,1534622516000,0.00248,0.00221,0.966,2.9e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4207,1908210,13600000,1534626216000,0.00185,0.0022,0.972,2.92e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4239,1920913,13700000,1534632293000,0.00252,0.00221,0.973,2.92e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4291,1939847,13800000,1534649517000,0.00275,0.00221,0.974,2.92e+02,0.981,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4348,1955044,13900000,1534656304000,0.00375,0.00222,0.977,2.93e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4388,1968532,14000000,1534660228000,0.00297,0.00223,0.973,2.92e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4450,1981731,14100000,1534663200000,0.0047,0.00225,0.971,2.91e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4490,1995205,14200000,1534665903000,0.00297,0.00225,0.978,2.93e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4532,2008771,14300000,1534668786000,0.0031,0.00226,0.967,2.9e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4578,2022187,14400000,1534671766000,0.00343,0.00226,0.976,2.93e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4622,2036304,14500000,1534674837000,0.00312,0.00227,0.975,2.93e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4695,2050550,14600000,1534677697000,0.00512,0.00229,0.983,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4762,2064501,14700000,1534680247000,0.0048,0.00231,0.974,2.92e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4828,2078649,14800000,1534682924000,0.00466,0.00232,0.975,2.93e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4861,2093159,14900000,1534685816000,0.00227,0.00232,0.975,2.93e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4895,2107521,15000000,1534688843000,0.00237,0.00232,0.983,2.95e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4921,2121306,15100000,1534692274000,0.00189,0.00232,0.988,2.96e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
4963,2135200,15200000,1534695398000,0.00302,0.00232,0.985,2.96e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
5001,2148338,15300000,1534698625000,0.00289,0.00233,0.986,2.96e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
5025,2161448,15400000,1534701627000,0.00183,0.00232,0.966,2.9e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
5053,2174824,15500000,1534704482000,0.00209,0.00232,0.985,2.96e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
5085,2187927,15600000,1534707063000,0.00244,0.00232,0.969,2.91e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
5124,2200979,15700000,1534709673000,0.00299,0.00233,0.975,2.92e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,DAILY,1,False,0.0,False,0.0,0.0
16,5809,400000,1534215666000,0.00275,0.00275,0.98,2.94e+02,0.98,2.94e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
44,21903,500000,1534221203000,0.00174,0.00201,0.977,2.93e+02,0.978,2.93e+02,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,False,0.0,False,0.0,0.0
