Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart
1661,984310,7500000,1534420152000,0.00163,0.00169,0.986,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1684,999081,7600000,1534421958000,0.00156,0.00169,0.987,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1714,1012340,7700000,1534424198000,0.00226,0.00169,0.988,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1742,1024982,7800000,1534426507000,0.00221,0.0017,0.982,2.95e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1768,1038770,7900000,1534428901000,0.00189,0.0017,0.987,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1788,1053103,8000000,1534431501000,0.0014,0.0017,0.988,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1843,1068823,8100000,1534434488000,0.0035,0.00172,0.987,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1869,1082481,8200000,1534438303000,0.0019,0.00173,0.985,2.95e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1907,1096294,8300000,1534442273000,0.00275,0.00174,0.987,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
1931,1107622,8400000,1534445358000,0.00212,0.00174,0.987,2.96e+02,0.983,2.95e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,True,0.0,0.0
