Clicks,Impressions,TotalImpressions,Timestamp,BatchCTR,FullCTR,BatchMSE,BatchMMSE,FullMSE,FullMMSE,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart,SimulationType
16040,7543988,7900000,1534428901000,0.00168,0.00213,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
16198,7643988,8000000,1534431501000,0.00158,0.00212,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
16375,7743988,8100000,1534434488000,0.00177,0.00211,0.992,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
16532,7843988,8200000,1534438303000,0.00157,0.00211,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
16682,7943988,8300000,1534442273000,0.0015,0.0021,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
16881,8043988,8400000,1534445358000,0.00199,0.0021,0.992,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
17090,8143988,8500000,1534448098000,0.00209,0.0021,0.993,2.98e+02,0.99,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
17320,8243988,8600000,1534450774000,0.0023,0.0021,0.992,2.98e+02,0.991,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
17459,8343988,8700000,1534455312000,0.00139,0.00209,0.993,2.98e+02,0.991,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
17626,8443988,8800000,1534469315000,0.00167,0.00209,0.991,2.97e+02,0.991,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
17837,8543987,8900000,1534477993000,0.00211,0.00209,0.99,2.97e+02,0.991,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
18024,8643987,9000000,1534481599000,0.00187,0.00209,0.991,2.97e+02,0.991,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
18140,8743987,9100000,1534484170000,0.00116,0.00207,0.995,2.98e+02,0.991,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
18257,8843987,9200000,1534486329000,0.00117,0.00206,0.994,2.98e+02,0.991,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
18376,8943987,9300000,1534488129000,0.00119,0.00205,0.994,2.98e+02,0.991,2.97e+02,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,0.6,DAILY,1,True,0.0,0.0,Hindsight
