MSE,CumulativeMSE,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,TrainPart
4.649987823652725e-06,0.0016993646601454377,5190412.0,TS_Lin,0.02,58336,1529528400.0,0.0001,0.02
2.1772294011569283e-05,0.001710252430706846,5465266.0,TS_Lin,0.02,58336,1529532000.0,0.0001,0.02
2.5466521926791895e-05,0.0017103539096638657,5621361.0,TS_Lin,0.02,58336,1529536623.0,0.0001,0.02
2.8278383755841997e-05,0.0017134718184405168,5762459.0,TS_Lin,0.02,58336,1529547570.0,0.0001,0.02
4.866177196585026e-05,0.0017117843947283117,5947028.0,TS_Lin,0.02,58336,1529552607.0,0.0001,0.02
2.223750813939594e-05,0.0017009924251699573,6305132.0,TS_Lin,0.02,58336,1529556207.0,0.0001,0.02
1.864019176057478e-05,0.001684036371209426,6786538.0,TS_Lin,0.02,58336,1529559807.0,0.0001,0.02
1.8029846587574173e-05,0.0016680328680590238,7286284.0,TS_Lin,0.02,58336,1529563407.0,0.0001,0.02
2.4008706676091733e-05,0.0016448270571851756,7825724.0,TS_Lin,0.02,58336,1529567007.0,0.0001,0.02
7.762266861519191e-05,0.0016431669250425187,8058862.0,TS_Lin,0.02,58336,1529577029.0,0.0001,0.02
5.345949683906951e-05,0.0016415472193470945,8399297.0,TS_Lin,0.02,58336,1529596191.0,0.0001,0.02
5.070753456879597e-05,0.0016304436144179068,8799083.0,TS_Lin,0.02,58336,1529618198.0,0.0001,0.02
3.308314080083865e-06,0.001636156575049428,9100143.0,TS_Lin,0.02,58336,1529741713.0,0.0001,0.02
8.001044080541114e-05,0.0016455377248775888,9348780.0,TS_Lin,0.02,58336,1529745313.0,0.0001,0.02
3.0332587844953542e-05,0.001654268048772621,9644785.0,TS_Lin,0.02,58336,1529748913.0,0.0001,0.02
3.260733914612576e-06,0.0016617257145056525,9950805.0,TS_Lin,0.02,58336,1529752513.0,0.0001,0.02
4.878763759691808e-05,0.001675055977606348,10256639.0,TS_Lin,0.02,58336,1529756113.0,0.0001,0.02
7.011665999107318e-06,0.0016874455599393636,10540420.0,TS_Lin,0.02,58336,1529759713.0,0.0001,0.02
3.7433757491070222e-06,0.001699354624798431,10812528.0,TS_Lin,0.02,58336,1529763313.0,0.0001,0.02
7.617577316321849e-05,0.001711913436563491,11086077.0,TS_Lin,0.02,58336,1529766913.0,0.0001,0.02
2.2748234581722194e-05,0.0017215197976002505,11393529.0,TS_Lin,0.02,58336,1529770513.0,0.0001,0.02
4.95558566651552e-05,0.0017276563983446359,11695405.0,TS_Lin,0.02,58336,1529774113.0,0.0001,0.02
1.6196872491422333e-05,0.001734294046389658,11941412.0,TS_Lin,0.02,58336,1529777713.0,0.0001,0.02
8.635602750112731e-05,0.0017411742034549244,12206953.0,TS_Lin,0.02,58336,1529781313.0,0.0001,0.02
3.2123529340194206e-05,0.0017417957963959871,12424452.0,TS_Lin,0.02,58336,1529784913.0,0.0001,0.02
7.167422444933243e-05,0.0017556517289573814,12757768.0,TS_Lin,0.02,58336,1529788513.0,0.0001,0.02
9.583641721060879e-05,0.0017671512918483203,12986658.0,TS_Lin,0.02,58336,1529792113.0,0.0001,0.02
