Clicks,Impressions,TotalImpressions,Method,Timestamp,MSE,CumulativeMSE,MMSE,MCumulativeMSE,Hours,TrainPart,RecommendationPart,Alpha,EqClicks
24.0,5135.0,700000,LinUCB_Disjoint,1531388633.0,0.00301,2.7e+02,0.00283,2.53e+02,12,0.02,0.02,0.1,0.0
24.0,5200.0,710000,LinUCB_Disjoint,1531393395.0,0.0036,3.24e+02,0.00284,2.54e+02,12,0.02,0.02,0.1,0.0
25.0,5266.0,720000,LinUCB_Disjoint,1531398829.0,0.00418,3.78e+02,0.00286,2.56e+02,12,0.02,0.02,0.1,0.0
25.0,5364.0,730000,LinUCB_Disjoint,1531403757.0,0.0035,3.15e+02,0.00286,2.57e+02,12,0.02,0.02,0.1,0.0
26.0,5435.0,740000,LinUCB_Disjoint,1531408724.0,0.0033,2.97e+02,0.00287,2.57e+02,12,0.02,0.02,0.1,0.0
26.0,5499.0,750000,LinUCB_Disjoint,1531413306.0,0.00271,2.43e+02,0.00287,2.57e+02,12,0.02,0.02,0.1,0.0
26.0,5597.0,760000,LinUCB_Disjoint,1531418096.0,0.0032,2.88e+02,0.00287,2.58e+02,12,0.02,0.02,0.1,0.0
26.0,5675.0,770000,LinUCB_Disjoint,1531422409.0,0.00271,2.43e+02,0.00287,2.57e+02,12,0.02,0.02,0.1,0.0
26.0,5752.0,780000,LinUCB_Disjoint,1531426139.0,0.003,2.7e+02,0.00287,2.58e+02,12,0.02,0.02,0.1,0.0
26.0,5820.0,790000,LinUCB_Disjoint,1531429926.0,0.0036,3.24e+02,0.00288,2.58e+02,12,0.02,0.02,0.1,0.0
26.0,5874.0,800000,LinUCB_Disjoint,1531438058.0,0.00291,2.61e+02,0.00288,2.58e+02,12,0.02,0.02,0.1,0.0
27.0,5951.0,810000,LinUCB_Disjoint,1531456138.0,0.00399,3.6e+02,0.0029,2.6e+02,12,0.02,0.02,0.1,0.0
28.0,6031.0,820000,LinUCB_Disjoint,1531460936.0,0.0035,3.15e+02,0.0029,2.6e+02,12,0.02,0.02,0.1,0.0
29.0,6115.0,830000,LinUCB_Disjoint,1531466266.0,0.0037,3.33e+02,0.00291,2.61e+02,12,0.02,0.02,0.1,0.0
29.0,6183.0,840000,LinUCB_Disjoint,1531471842.0,0.003,2.7e+02,0.00291,2.61e+02,12,0.02,0.02,0.1,0.0
29.0,6251.0,850000,LinUCB_Disjoint,1531476854.0,0.00172,1.53e+02,0.0029,2.6e+02,12,0.02,0.02,0.1,0.0
29.0,6324.0,860000,LinUCB_Disjoint,1531481122.0,0.00301,2.7e+02,0.0029,2.6e+02,12,0.02,0.02,0.1,0.0
30.0,6468.0,870000,LinUCB_Disjoint,1531485417.0,0.00389,3.51e+02,0.00291,2.61e+02,12,0.02,0.02,0.1,0.0
30.0,6562.0,880000,LinUCB_Disjoint,1531490439.0,0.00281,2.52e+02,0.00291,2.61e+02,12,0.02,0.02,0.1,0.0
30.0,6625.0,890000,LinUCB_Disjoint,1531495512.0,0.00281,2.52e+02,0.00291,2.61e+02,12,0.02,0.02,0.1,0.0
30.0,6685.0,900000,LinUCB_Disjoint,1531501136.0,0.0032,2.88e+02,0.00291,2.61e+02,12,0.02,0.02,0.1,0.0
30.0,6742.0,910000,LinUCB_Disjoint,1531507224.0,0.0035,3.15e+02,0.00292,2.62e+02,12,0.02,0.02,0.1,0.0
