Clicks,Impressions,TotalImpressions,Method,RecommendationPart,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
19.0,15553.0,1230000,Random,0.02,1529490860.0,0.001,0.02,0.5059,0.3144691060341923
19.0,15741.0,1240000,Random,0.02,1529490923.0,0.001,0.02,0.5021,0.3159822584048843
19.0,15933.0,1250000,Random,0.02,1529490984.0,0.001,0.02,0.5013,0.31746480033764524
19.0,16145.0,1260000,Random,0.02,1529491047.0,0.001,0.02,0.4999,0.3189126987476639
19.0,16338.0,1270000,Random,0.02,1529491110.0,0.001,0.02,0.5093,0.32041181135595004
20.0,16553.0,1280000,Random,0.02,1529491174.0,0.001,0.02,0.5131,0.32191718782973167
20.0,16797.0,1290000,Random,0.02,1529491238.0,0.001,0.02,0.5059,0.3233434111798888
20.0,17007.0,1300000,Random,0.02,1529491304.0,0.001,0.02,0.5038,0.3247315387861973
21.0,17186.0,1310000,Random,0.02,1529491370.0,0.001,0.02,0.5127,0.326166412535921
22.0,17364.0,1320000,Random,0.02,1529491436.0,0.001,0.02,0.5056,0.32752575789549737
22.0,17561.0,1330000,Random,0.02,1529491503.0,0.001,0.02,0.5034,0.3288481206180876
22.0,17759.0,1340000,Random,0.02,1529491568.0,0.001,0.02,0.5022,0.3301417913597437
22.0,17954.0,1350000,Random,0.02,1529491638.0,0.001,0.02,0.5038,0.3314281484607826
23.0,18156.0,1360000,Random,0.02,1529491708.0,0.001,0.02,0.487,0.3325720591338651
23.0,18375.0,1370000,Random,0.02,1529491779.0,0.001,0.02,0.504,0.33382335797230406
24.0,18599.0,1380000,Random,0.02,1529491851.0,0.001,0.02,0.4969,0.33500507276960617
25.0,18822.0,1390000,Random,0.02,1529491921.0,0.001,0.02,0.5038,0.33621942476406946
25.0,18995.0,1400000,Random,0.02,1529491993.0,0.001,0.02,0.5003,0.3373914288728975
25.0,19173.0,1410000,Random,0.02,1529492066.0,0.001,0.02,0.5003,0.3385468088099692
25.0,19358.0,1420000,Random,0.02,1529492140.0,0.001,0.02,0.506,0.3397260566352511
25.0,19508.0,1430000,Random,0.02,1529492215.0,0.001,0.02,0.5042,0.3408762240713682
25.0,19720.0,1440000,Random,0.02,1529492289.0,0.001,0.02,0.5022,0.3419965280708726
28.0,19926.0,1450000,Random,0.02,1529492368.0,0.001,0.02,0.4964,0.3430613796014183
28.0,20067.0,1460000,Random,0.02,1529492448.0,0.001,0.02,0.4944,0.34409794549455924
29.0,20214.0,1470000,Random,0.02,1529492529.0,0.001,0.02,0.5011,0.3451659866816711
29.0,20354.0,1480000,Random,0.02,1529492610.0,0.001,0.02,0.5008,0.3462175678527409
29.0,20478.0,1490000,Random,0.02,1529492694.0,0.001,0.02,0.4992,0.34724429558527287
29.0,20640.0,1500000,Random,0.02,1529492774.0,0.001,0.02,0.4987,0.34825400028137105
29.0,20764.0,1510000,Random,0.02,1529492855.0,0.001,0.02,0.5012,0.3492668876967262
30.0,20919.0,1520000,Random,0.02,1529492937.0,0.001,0.02,0.498,0.35024539501451085
31.0,21058.0,1530000,Random,0.02,1529493020.0,0.001,0.02,0.4965,0.3512013074653964
31.0,21196.0,1540000,Random,0.02,1529493104.0,0.001,0.02,0.5109,0.3522383119623744
31.0,21321.0,1550000,Random,0.02,1529493186.0,0.001,0.02,0.5013,0.35320000027229453
32.0,21456.0,1560000,Random,0.02,1529493270.0,0.001,0.02,0.5053,0.35417500027054905
33.0,21602.0,1570000,Random,0.02,1529493356.0,0.001,0.02,0.501,0.35511019135162836
33.0,21763.0,1580000,Random,0.02,1529493442.0,0.001,0.02,0.5022,0.3560411395076307
33.0,21875.0,1590000,Random,0.02,1529493526.0,0.001,0.02,0.498,0.3569339625295953
34.0,22019.0,1600000,Random,0.02,1529493611.0,0.001,0.02,0.4845,0.3577312502637853
34.0,22172.0,1610000,Random,0.02,1529493697.0,0.001,0.02,0.5023,0.3586291928087308
34.0,22328.0,1620000,Random,0.02,1529493781.0,0.001,0.02,0.4968,0.35948209902596084
34.0,22457.0,1630000,Random,0.02,1529493863.0,0.001,0.02,0.4911,0.36028957081107765
35.0,22615.0,1640000,Random,0.02,1529493948.0,0.001,0.02,0.5022,0.361154878306132
37.0,22755.0,1650000,Random,0.02,1529494031.0,0.001,0.02,0.4954,0.3619684851042767
38.0,22895.0,1660000,Random,0.02,1529494116.0,0.001,0.02,0.5028,0.36281686772413047
38.0,23028.0,1670000,Random,0.02,1529494204.0,0.001,0.02,0.5102,0.36369940145033325
38.0,23159.0,1680000,Random,0.02,1529494290.0,0.001,0.02,0.5158,0.36460476215598603
38.0,23299.0,1690000,Random,0.02,1529494376.0,0.001,0.02,0.4969,0.3653875742142346
38.0,23441.0,1700000,Random,0.02,1529494462.0,0.001,0.02,0.4991,0.3661741178953274
38.0,23602.0,1710000,Random,0.02,1529494551.0,0.001,0.02,0.5082,0.3670046786093898
38.0,23745.0,1720000,Random,0.02,1529494637.0,0.001,0.02,0.5056,0.3678104653616608
39.0,23859.0,1730000,Random,0.02,1529494722.0,0.001,0.02,0.4965,0.3685543355040789
39.0,24000.0,1740000,Random,0.02,1529494810.0,0.001,0.02,0.5019,0.36932068989773364
39.0,24117.0,1750000,Random,0.02,1529494897.0,0.001,0.02,0.5082,0.37011428595546086
39.0,24274.0,1760000,Random,0.02,1529494986.0,0.001,0.02,0.5042,0.3708761366034412
39.0,24424.0,1770000,Random,0.02,1529495075.0,0.001,0.02,0.5118,0.3716723166226308
39.0,24581.0,1780000,Random,0.02,1529495164.0,0.001,0.02,0.4988,0.372386517091043
39.0,24759.0,1790000,Random,0.02,1529495253.0,0.001,0.02,0.4959,0.37307653654863493
39.0,24886.0,1800000,Random,0.02,1529495344.0,0.001,0.02,0.4888,0.3737194446789203
39.0,25043.0,1810000,Random,0.02,1529495435.0,0.001,0.02,0.501,0.3744226521668821
39.0,25190.0,1820000,Random,0.02,1529495529.0,0.001,0.02,0.4969,0.3750956046275036
39.0,25324.0,1830000,Random,0.02,1529495626.0,0.001,0.02,0.5,0.37577814230713474
39.0,25463.0,1840000,Random,0.02,1529495724.0,0.001,0.02,0.4966,0.3764347828380742
40.0,25621.0,1850000,Random,0.02,1529495824.0,0.001,0.02,0.4962,0.37708216239030085
40.0,25786.0,1860000,Random,0.02,1529495927.0,0.001,0.02,0.4902,0.37769032280755727
40.0,25938.0,1870000,Random,0.02,1529496027.0,0.001,0.02,0.501,0.3783497328460195
42.0,26155.0,1880000,Random,0.02,1529496130.0,0.001,0.02,0.5034,0.37901489384151943
