Clicks,Impressions,TotalImpressions,Method,RecommendationPart,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
24.0,2266.0,1280000,LinUCB_Disjoint_E_0.8,0.02,1529491174.0,0.01,0.02,0.0430068617947262,0.028491382782980447
24.0,2295.0,1290000,LinUCB_Disjoint_E_0.8,0.02,1529491238.0,0.01,0.02,0.042830593496251165,0.028602539455176115
24.0,2312.0,1300000,LinUCB_Disjoint_E_0.8,0.02,1529491304.0,0.01,0.02,0.04269976117344341,0.02871097962224002
24.0,2333.0,1310000,LinUCB_Disjoint_E_0.8,0.02,1529491370.0,0.01,0.02,0.042947228217585794,0.02881965327563973
25.0,2347.0,1320000,LinUCB_Disjoint_E_0.8,0.02,1529491436.0,0.01,0.02,0.04193097544004161,0.02891898147385486
25.0,2371.0,1330000,LinUCB_Disjoint_E_0.8,0.02,1529491503.0,0.01,0.02,0.04272651224890289,0.029022797494719817
25.0,2398.0,1340000,LinUCB_Disjoint_E_0.8,0.02,1529491568.0,0.01,0.02,0.04306542368719709,0.029127593212574184
25.0,2422.0,1350000,LinUCB_Disjoint_E_0.8,0.02,1529491638.0,0.01,0.02,0.04259560798390435,0.029227356284954403
25.0,2446.0,1360000,LinUCB_Disjoint_E_0.8,0.02,1529491708.0,0.01,0.02,0.04349430780623711,0.029332260340257914
26.0,2467.0,1370000,LinUCB_Disjoint_E_0.8,0.02,1529491779.0,0.01,0.02,0.042639011780769065,0.02942938991281625
26.0,2492.0,1380000,LinUCB_Disjoint_E_0.8,0.02,1529491851.0,0.01,0.02,0.04338979615343942,0.029530552276879004
26.0,2521.0,1390000,LinUCB_Disjoint_E_0.8,0.02,1529491921.0,0.01,0.02,0.04442360518156204,0.029637696542380482
27.0,2541.0,1400000,LinUCB_Disjoint_E_0.8,0.02,1529491993.0,0.01,0.02,0.04248429624285574,0.02972945796881244
27.0,2568.0,1410000,LinUCB_Disjoint_E_0.8,0.02,1529492066.0,0.01,0.02,0.04322733241034168,0.02982518757478084
28.0,2593.0,1420000,LinUCB_Disjoint_E_0.8,0.02,1529492140.0,0.01,0.02,0.0434668009302162,0.029921255274467054
28.0,2615.0,1430000,LinUCB_Disjoint_E_0.8,0.02,1529492215.0,0.01,0.02,0.0431808257216704,0.03001397954332858
28.0,2632.0,1440000,LinUCB_Disjoint_E_0.8,0.02,1529492289.0,0.01,0.02,0.04218789301660778,0.030098520609115092
28.0,2660.0,1450000,LinUCB_Disjoint_E_0.8,0.02,1529492368.0,0.01,0.02,0.04437041136553138,0.030196947441917935
29.0,2685.0,1460000,LinUCB_Disjoint_E_0.8,0.02,1529492448.0,0.01,0.02,0.04369943891850061,0.030289430260250702
29.0,2705.0,1470000,LinUCB_Disjoint_E_0.8,0.02,1529492529.0,0.01,0.02,0.04279651474700628,0.030374512467643548
30.0,2734.0,1480000,LinUCB_Disjoint_E_0.8,0.02,1529492610.0,0.01,0.02,0.044063006554732685,0.03046700229255632
32.0,2755.0,1490000,LinUCB_Disjoint_E_0.8,0.02,1529492694.0,0.01,0.02,0.0438070017312428,0.0305565324901311
32.0,2779.0,1500000,LinUCB_Disjoint_E_0.8,0.02,1529492774.0,0.01,0.02,0.043032236026181496,0.03063970384703801
33.0,2817.0,1510000,LinUCB_Disjoint_E_0.8,0.02,1529492855.0,0.01,0.02,0.043436142299657365,0.03072444847255211
34.0,2833.0,1520000,LinUCB_Disjoint_E_0.8,0.02,1529492937.0,0.01,0.02,0.04315298092100338,0.03080621513339717
34.0,2855.0,1530000,LinUCB_Disjoint_E_0.8,0.02,1529493020.0,0.01,0.02,0.04273910430108763,0.03088420787305513
34.0,2869.0,1540000,LinUCB_Disjoint_E_0.8,0.02,1529493104.0,0.01,0.02,0.04216638285756416,0.03095746874957794
34.0,2892.0,1550000,LinUCB_Disjoint_E_0.8,0.02,1529493186.0,0.01,0.02,0.04351068569367587,0.03103845724599125
34.0,2908.0,1560000,LinUCB_Disjoint_E_0.8,0.02,1529493270.0,0.01,0.02,0.04283597429368924,0.031114082355271175
35.0,2940.0,1570000,LinUCB_Disjoint_E_0.8,0.02,1529493356.0,0.01,0.02,0.042962004391570954,0.03118954682683987
35.0,2958.0,1580000,LinUCB_Disjoint_E_0.8,0.02,1529493442.0,0.01,0.02,0.04232866054163962,0.03126004754655374
35.0,2976.0,1590000,LinUCB_Disjoint_E_0.8,0.02,1529493526.0,0.01,0.02,0.04333577361963264,0.03133599550927728
35.0,2997.0,1600000,LinUCB_Disjoint_E_0.8,0.02,1529493611.0,0.01,0.02,0.04333039950073995,0.03141096053422399
35.0,3015.0,1610000,LinUCB_Disjoint_E_0.8,0.02,1529493697.0,0.01,0.02,0.0422864890573119,0.031478510400827185
35.0,3047.0,1620000,LinUCB_Disjoint_E_0.8,0.02,1529493781.0,0.01,0.02,0.043083785516462594,0.031550147901540676
35.0,3077.0,1630000,LinUCB_Disjoint_E_0.8,0.02,1529493863.0,0.01,0.02,0.04374561976848305,0.03162496674735009
35.0,3100.0,1640000,LinUCB_Disjoint_E_0.8,0.02,1529493948.0,0.01,0.02,0.04387180799666637,0.031699642608626406
36.0,3115.0,1650000,LinUCB_Disjoint_E_0.8,0.02,1529494031.0,0.01,0.02,0.043059027636668086,0.03176848736637238
36.0,3150.0,1660000,LinUCB_Disjoint_E_0.8,0.02,1529494116.0,0.01,0.02,0.043315595416832685,0.0318380482582426
36.0,3174.0,1670000,LinUCB_Disjoint_E_0.8,0.02,1529494204.0,0.01,0.02,0.043899372816873394,0.03191027175859358
36.0,3200.0,1680000,LinUCB_Disjoint_E_0.8,0.02,1529494290.0,0.01,0.02,0.04359995546683083,0.03197985320923804
36.0,3225.0,1690000,LinUCB_Disjoint_E_0.8,0.02,1529494376.0,0.01,0.02,0.04409928113296728,0.03205156580050275
