Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,MSE
42.0,17196.0,1450000.0,GP_Clustered,0.02,58336,1529492368.0,0.02,0.0010221395250399165
43.0,17230.0,1460000.0,GP_Clustered,0.02,58336,1529492448.0,0.02,0.0010274263676453331
43.0,17270.0,1470000.0,GP_Clustered,0.02,58336,1529492529.0,0.02,0.0010258934740904806
44.0,17305.0,1480000.0,GP_Clustered,0.02,58336,1529492610.0,0.02,0.001037808785228322
46.0,17342.0,1490000.0,GP_Clustered,0.02,58336,1529492694.0,0.02,0.0010442069595902946
46.0,17379.0,1500000.0,GP_Clustered,0.02,58336,1529492774.0,0.02,0.0010445722958709882
47.0,17420.0,1510000.0,GP_Clustered,0.02,58336,1529492855.0,0.02,0.001046909195888111
47.0,17446.0,1520000.0,GP_Clustered,0.02,58336,1529492937.0,0.02,0.0010537844680827046
48.0,17484.0,1530000.0,GP_Clustered,0.02,58336,1529493020.0,0.02,0.0010527820328237046
48.0,17512.0,1540000.0,GP_Clustered,0.02,58336,1529493104.0,0.02,0.0010524400448653228
48.0,17563.0,1550000.0,GP_Clustered,0.02,58336,1529493186.0,0.02,0.0010559561309726984
49.0,17598.0,1560000.0,GP_Clustered,0.02,58336,1529493270.0,0.02,0.0010606947407760068
50.0,17640.0,1570000.0,GP_Clustered,0.02,58336,1529493356.0,0.02,0.001064098778403523
50.0,17676.0,1580000.0,GP_Clustered,0.02,58336,1529493442.0,0.02,0.00106494813366813
51.0,17706.0,1590000.0,GP_Clustered,0.02,58336,1529493526.0,0.02,0.0010714142612890652
51.0,17738.0,1600000.0,GP_Clustered,0.02,58336,1529493611.0,0.02,0.0010771890237739363
51.0,17772.0,1610000.0,GP_Clustered,0.02,58336,1529493697.0,0.02,0.0010791839074062596
51.0,17808.0,1620000.0,GP_Clustered,0.02,58336,1529493781.0,0.02,0.0010817719813952609
51.0,17862.0,1630000.0,GP_Clustered,0.02,58336,1529493863.0,0.02,0.0010837295225695597
51.0,17896.0,1640000.0,GP_Clustered,0.02,58336,1529493948.0,0.02,0.0010892821542389012
52.0,17926.0,1650000.0,GP_Clustered,0.02,58336,1529494031.0,0.02,0.0010929594539593732
52.0,17978.0,1660000.0,GP_Clustered,0.02,58336,1529494116.0,0.02,0.001094795969500035
52.0,18013.0,1670000.0,GP_Clustered,0.02,58336,1529494204.0,0.02,0.0010966077016237089
52.0,18056.0,1680000.0,GP_Clustered,0.02,58336,1529494290.0,0.02,0.0010989803214155249
52.0,18113.0,1690000.0,GP_Clustered,0.02,58336,1529494376.0,0.02,0.0011019252610881224
52.0,18149.0,1700000.0,GP_Clustered,0.02,58336,1529494462.0,0.02,0.0011036680673649874
53.0,18196.0,1710000.0,GP_Clustered,0.02,58336,1529494551.0,0.02,0.00110770605804689
53.0,18241.0,1720000.0,GP_Clustered,0.02,58336,1529494637.0,0.02,0.0011088135820960584
53.0,18288.0,1730000.0,GP_Clustered,0.02,58336,1529494722.0,0.02,0.001109344694822485
53.0,18326.0,1740000.0,GP_Clustered,0.02,58336,1529494810.0,0.02,0.0011075658569035427
54.0,18360.0,1750000.0,GP_Clustered,0.02,58336,1529494897.0,0.02,0.0011115010217063255
54.0,18386.0,1760000.0,GP_Clustered,0.02,58336,1529494986.0,0.02,0.0011165118348771081
54.0,18430.0,1770000.0,GP_Clustered,0.02,58336,1529495075.0,0.02,0.0011203449638880233
54.0,18466.0,1780000.0,GP_Clustered,0.02,58336,1529495164.0,0.02,0.001120794450131817
54.0,18504.0,1790000.0,GP_Clustered,0.02,58336,1529495253.0,0.02,0.0011229028458444115
55.0,18547.0,1800000.0,GP_Clustered,0.02,58336,1529495344.0,0.02,0.0011244214456582397
55.0,18583.0,1810000.0,GP_Clustered,0.02,58336,1529495435.0,0.02,0.0011275811427443115
55.0,18623.0,1820000.0,GP_Clustered,0.02,58336,1529495529.0,0.02,0.0011279749802134357
55.0,18654.0,1830000.0,GP_Clustered,0.02,58336,1529495626.0,0.02,0.0011337986935615273
55.0,18699.0,1840000.0,GP_Clustered,0.02,58336,1529495724.0,0.02,0.0011357856986453768
55.0,18731.0,1850000.0,GP_Clustered,0.02,58336,1529495824.0,0.02,0.0011361312224084387
55.0,18775.0,1860000.0,GP_Clustered,0.02,58336,1529495927.0,0.02,0.0011439444502260821
55.0,18820.0,1870000.0,GP_Clustered,0.02,58336,1529496027.0,0.02,0.0011468944261548214
55.0,18858.0,1880000.0,GP_Clustered,0.02,58336,1529496130.0,0.02,0.0011534932334484238
55.0,18894.0,1890000.0,GP_Clustered,0.02,58336,1529496231.0,0.02,0.0011516112767935474
55.0,18927.0,1900000.0,GP_Clustered,0.02,58336,1529496335.0,0.02,0.0011518628209769408
56.0,18954.0,1910000.0,GP_Clustered,0.02,58336,1529496441.0,0.02,0.0011552259083018415
56.0,18990.0,1920000.0,GP_Clustered,0.02,58336,1529496550.0,0.02,0.0011580337023077954
57.0,19030.0,1930000.0,GP_Clustered,0.02,58336,1529496655.0,0.02,0.0011603087397844976
59.0,19075.0,1940000.0,GP_Clustered,0.02,58336,1529496762.0,0.02,0.0011640993929302997
60.0,19111.0,1950000.0,GP_Clustered,0.02,58336,1529496866.0,0.02,0.0011663107947639947
60.0,19147.0,1960000.0,GP_Clustered,0.02,58336,1529496967.0,0.02,0.0011669818116552952
61.0,19187.0,1970000.0,GP_Clustered,0.02,58336,1529497068.0,0.02,0.0011681673667571415
62.0,19216.0,1980000.0,GP_Clustered,0.02,58336,1529497168.0,0.02,0.0011703270131248385
62.0,19252.0,1990000.0,GP_Clustered,0.02,58336,1529497267.0,0.02,0.0011739681256756126
63.0,19291.0,2000000.0,GP_Clustered,0.02,58336,1529497367.0,0.02,0.0011765748263345545
63.0,19340.0,2010000.0,GP_Clustered,0.02,58336,1529497467.0,0.02,0.0011811502090238975
64.0,19380.0,2020000.0,GP_Clustered,0.02,58336,1529497571.0,0.02,0.0011822091598224474
65.0,19415.0,2030000.0,GP_Clustered,0.02,58336,1529497673.0,0.02,0.0011862046758306904
66.0,19455.0,2040000.0,GP_Clustered,0.02,58336,1529497772.0,0.02,0.00118675993127723
66.0,19495.0,2050000.0,GP_Clustered,0.02,58336,1529497873.0,0.02,0.001190209765389151
66.0,19534.0,2060000.0,GP_Clustered,0.02,58336,1529497977.0,0.02,0.001191705402991183
67.0,19568.0,2070000.0,GP_Clustered,0.02,58336,1529498080.0,0.02,0.001195581594897425
67.0,19593.0,2080000.0,GP_Clustered,0.02,58336,1529498182.0,0.02,0.0011951151760645495
67.0,19622.0,2090000.0,GP_Clustered,0.02,58336,1529498282.0,0.02,0.0011975166570448589
67.0,19660.0,2100000.0,GP_Clustered,0.02,58336,1529498384.0,0.02,0.0011979850583819106
67.0,19702.0,2110000.0,GP_Clustered,0.02,58336,1529498486.0,0.02,0.0011975150884542993
67.0,19735.0,2120000.0,GP_Clustered,0.02,58336,1529498586.0,0.02,0.0011989343357659446
67.0,19777.0,2130000.0,GP_Clustered,0.02,58336,1529498688.0,0.02,0.0011975201437554503
68.0,19817.0,2140000.0,GP_Clustered,0.02,58336,1529498786.0,0.02,0.0011979855916475011
68.0,19847.0,2150000.0,GP_Clustered,0.02,58336,1529498886.0,0.02,0.0011989105149572059
68.0,19882.0,2160000.0,GP_Clustered,0.02,58336,1529498982.0,0.02,0.0011975359604347456
69.0,19915.0,2170000.0,GP_Clustered,0.02,58336,1529499077.0,0.02,0.0011984463058365463
69.0,19959.0,2180000.0,GP_Clustered,0.02,58336,1529499170.0,0.02,0.0012002754307988122
70.0,19997.0,2190000.0,GP_Clustered,0.02,58336,1529499265.0,0.02,0.0012011723082262509
70.0,20039.0,2200000.0,GP_Clustered,0.02,58336,1529499357.0,0.02,0.0012011635097687967
70.0,20078.0,2210000.0,GP_Clustered,0.02,58336,1529499453.0,0.02,0.001199340243865937
70.0,20105.0,2220000.0,GP_Clustered,0.02,58336,1529499550.0,0.02,0.0011984414196487283
70.0,20147.0,2230000.0,GP_Clustered,0.02,58336,1529499644.0,0.02,0.0011988946758784294
70.0,20192.0,2240000.0,GP_Clustered,0.02,58336,1529499740.0,0.02,0.0012024413490977267
70.0,20235.0,2250000.0,GP_Clustered,0.02,58336,1529499837.0,0.02,0.0012077476314794968
71.0,20280.0,2260000.0,GP_Clustered,0.02,58336,1529499935.0,0.02,0.0012116712627059944
71.0,20322.0,2270000.0,GP_Clustered,0.02,58336,1529500037.0,0.02,0.0012155598199016981
71.0,20359.0,2280000.0,GP_Clustered,0.02,58336,1529500139.0,0.02,0.0012163582537064808
71.0,20402.0,2290000.0,GP_Clustered,0.02,58336,1529500240.0,0.02,0.0012145526993049803
72.0,20443.0,2300000.0,GP_Clustered,0.02,58336,1529500341.0,0.02,0.0012192445634408074
72.0,20472.0,2310000.0,GP_Clustered,0.02,58336,1529500444.0,0.02,0.0012251992460365888
72.0,20519.0,2320000.0,GP_Clustered,0.02,58336,1529500548.0,0.02,0.0012250912813490723
72.0,20553.0,2330000.0,GP_Clustered,0.02,58336,1529500653.0,0.02,0.0012309563508396551
72.0,20604.0,2340000.0,GP_Clustered,0.02,58336,1529500754.0,0.02,0.001228700140592714
72.0,20644.0,2350000.0,GP_Clustered,0.02,58336,1529500855.0,0.02,0.0012294139768869571
74.0,20697.0,2360000.0,GP_Clustered,0.02,58336,1529500958.0,0.02,0.0012318069133420598
76.0,20748.0,2370000.0,GP_Clustered,0.02,58336,1529501064.0,0.02,0.0012320728803508296
77.0,20771.0,2380000.0,GP_Clustered,0.02,58336,1529501171.0,0.02,0.0012348402692055744
77.0,20801.0,2390000.0,GP_Clustered,0.02,58336,1529501276.0,0.02,0.00123427980203106
77.0,20848.0,2400000.0,GP_Clustered,0.02,58336,1529501383.0,0.02,0.001234124545974885
77.0,20883.0,2410000.0,GP_Clustered,0.02,58336,1529501489.0,0.02,0.0012348047189364535
78.0,20926.0,2420000.0,GP_Clustered,0.02,58336,1529501593.0,0.02,0.0012379449332731972
78.0,20967.0,2430000.0,GP_Clustered,0.02,58336,1529501694.0,0.02,0.0012390072430114904
78.0,21018.0,2440000.0,GP_Clustered,0.02,58336,1529501795.0,0.02,0.001236805398304757
78.0,21055.0,2450000.0,GP_Clustered,0.02,58336,1529501896.0,0.02,0.0012350304326338897
78.0,21098.0,2460000.0,GP_Clustered,0.02,58336,1529502003.0,0.02,0.0012360963203864898
78.0,21139.0,2470000.0,GP_Clustered,0.02,58336,1529502109.0,0.02,0.0012367493283474758
79.0,21184.0,2480000.0,GP_Clustered,0.02,58336,1529502218.0,0.02,0.0012393956910075694
79.0,21220.0,2490000.0,GP_Clustered,0.02,58336,1529502326.0,0.02,0.0012416337444058326
79.0,21253.0,2500000.0,GP_Clustered,0.02,58336,1529502432.0,0.02,0.0012434572387733443
79.0,21293.0,2510000.0,GP_Clustered,0.02,58336,1529502542.0,0.02,0.0012444668773020848
79.0,21329.0,2520000.0,GP_Clustered,0.02,58336,1529502648.0,0.02,0.0012431021255015018
79.0,21375.0,2530000.0,GP_Clustered,0.02,58336,1529502758.0,0.02,0.001244102860929141
79.0,21429.0,2540000.0,GP_Clustered,0.02,58336,1529502867.0,0.02,0.001245487270986609
79.0,21474.0,2550000.0,GP_Clustered,0.02,58336,1529502966.0,0.02,0.0012472533767008535
79.0,21518.0,2560000.0,GP_Clustered,0.02,58336,1529503060.0,0.02,0.0012474513822265231
79.0,21547.0,2570000.0,GP_Clustered,0.02,58336,1529503154.0,0.02,0.0012491971830712251
80.0,21585.0,2580000.0,GP_Clustered,0.02,58336,1529503249.0,0.02,0.0012505408440468874
81.0,21645.0,2590000.0,GP_Clustered,0.02,58336,1529503347.0,0.02,0.001252256855256066
81.0,21692.0,2600000.0,GP_Clustered,0.02,58336,1529503444.0,0.02,0.001253187286758868
81.0,21737.0,2610000.0,GP_Clustered,0.02,58336,1529503539.0,0.02,0.0012552703440322501
81.0,21786.0,2620000.0,GP_Clustered,0.02,58336,1529503635.0,0.02,0.0012577141241186848
