Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize
471.0,130415.0,2780000.0,Regression,0.1,291680
473.0,130866.0,2790000.0,Regression,0.1,291680
476.0,131318.0,2800000.0,Regression,0.1,291680
478.0,131779.0,2810000.0,Regression,0.1,291680
480.0,132217.0,2820000.0,Regression,0.1,291680
483.0,132654.0,2830000.0,Regression,0.1,291680
487.0,133088.0,2840000.0,Regression,0.1,291680
490.0,133541.0,2850000.0,Regression,0.1,291680
494.0,133959.0,2860000.0,Regression,0.1,291680
499.0,134398.0,2870000.0,Regression,0.1,291680
505.0,134860.0,2880000.0,Regression,0.1,291680
507.0,135324.0,2890000.0,Regression,0.1,291680
508.0,135766.0,2900000.0,Regression,0.1,291680
515.0,136175.0,2910000.0,Regression,0.1,291680
518.0,136596.0,2920000.0,Regression,0.1,291680
524.0,137069.0,2930000.0,Regression,0.1,291680
530.0,137524.0,2940000.0,Regression,0.1,291680
533.0,137997.0,2950000.0,Regression,0.1,291680
537.0,138458.0,2960000.0,Regression,0.1,291680
544.0,138957.0,2970000.0,Regression,0.1,291680
548.0,139409.0,2980000.0,Regression,0.1,291680
555.0,139887.0,2990000.0,Regression,0.1,291680
557.0,140376.0,3000000.0,Regression,0.1,291680
560.0,140878.0,3010000.0,Regression,0.1,291680
561.0,141395.0,3020000.0,Regression,0.1,291680
567.0,141864.0,3030000.0,Regression,0.1,291680
571.0,142375.0,3040000.0,Regression,0.1,291680
573.0,142862.0,3050000.0,Regression,0.1,291680
573.0,143373.0,3060000.0,Regression,0.1,291680
576.0,143848.0,3070000.0,Regression,0.1,291680
583.0,144364.0,3080000.0,Regression,0.1,291680
589.0,144870.0,3090000.0,Regression,0.1,291680
592.0,145391.0,3100000.0,Regression,0.1,291680
594.0,145846.0,3110000.0,Regression,0.1,291680
594.0,146332.0,3120000.0,Regression,0.1,291680
598.0,146846.0,3130000.0,Regression,0.1,291680
602.0,147353.0,3140000.0,Regression,0.1,291680
604.0,147931.0,3150000.0,Regression,0.1,291680
611.0,148467.0,3160000.0,Regression,0.1,291680
614.0,148944.0,3170000.0,Regression,0.1,291680
618.0,149490.0,3180000.0,Regression,0.1,291680
621.0,150042.0,3190000.0,Regression,0.1,291680
628.0,150547.0,3200000.0,Regression,0.1,291680
630.0,151077.0,3210000.0,Regression,0.1,291680
632.0,151610.0,3220000.0,Regression,0.1,291680
637.0,152187.0,3230000.0,Regression,0.1,291680
641.0,152713.0,3240000.0,Regression,0.1,291680
644.0,153282.0,3250000.0,Regression,0.1,291680
650.0,153862.0,3260000.0,Regression,0.1,291680
654.0,154457.0,3270000.0,Regression,0.1,291680
657.0,155080.0,3280000.0,Regression,0.1,291680
658.0,155645.0,3290000.0,Regression,0.1,291680
662.0,156211.0,3300000.0,Regression,0.1,291680
664.0,156791.0,3310000.0,Regression,0.1,291680
666.0,157373.0,3320000.0,Regression,0.1,291680
669.0,157915.0,3330000.0,Regression,0.1,291680
678.0,158531.0,3340000.0,Regression,0.1,291680
686.0,159143.0,3350000.0,Regression,0.1,291680
691.0,159782.0,3360000.0,Regression,0.1,291680
692.0,160389.0,3370000.0,Regression,0.1,291680
695.0,160989.0,3380000.0,Regression,0.1,291680
705.0,161606.0,3390000.0,Regression,0.1,291680
708.0,162228.0,3400000.0,Regression,0.1,291680
714.0,162807.0,3410000.0,Regression,0.1,291680
720.0,163396.0,3420000.0,Regression,0.1,291680
726.0,163977.0,3430000.0,Regression,0.1,291680
731.0,164585.0,3440000.0,Regression,0.1,291680
740.0,165191.0,3450000.0,Regression,0.1,291680
744.0,165798.0,3460000.0,Regression,0.1,291680
755.0,166398.0,3470000.0,Regression,0.1,291680
758.0,167001.0,3480000.0,Regression,0.1,291680
762.0,167605.0,3490000.0,Regression,0.1,291680
764.0,168241.0,3500000.0,Regression,0.1,291680
767.0,168868.0,3510000.0,Regression,0.1,291680
771.0,169482.0,3520000.0,Regression,0.1,291680
776.0,170096.0,3530000.0,Regression,0.1,291680
783.0,170741.0,3540000.0,Regression,0.1,291680
788.0,171418.0,3550000.0,Regression,0.1,291680
796.0,172049.0,3560000.0,Regression,0.1,291680
798.0,172678.0,3570000.0,Regression,0.1,291680
803.0,173280.0,3580000.0,Regression,0.1,291680
807.0,173949.0,3590000.0,Regression,0.1,291680
815.0,174613.0,3600000.0,Regression,0.1,291680
816.0,175280.0,3610000.0,Regression,0.1,291680
819.0,175877.0,3620000.0,Regression,0.1,291680
824.0,176529.0,3630000.0,Regression,0.1,291680
830.0,177216.0,3640000.0,Regression,0.1,291680
837.0,177906.0,3650000.0,Regression,0.1,291680
845.0,178600.0,3660000.0,Regression,0.1,291680
853.0,179305.0,3670000.0,Regression,0.1,291680
862.0,180054.0,3680000.0,Regression,0.1,291680
863.0,180752.0,3690000.0,Regression,0.1,291680
866.0,181463.0,3700000.0,Regression,0.1,291680
872.0,182163.0,3710000.0,Regression,0.1,291680
879.0,182873.0,3720000.0,Regression,0.1,291680
883.0,183627.0,3730000.0,Regression,0.1,291680
886.0,184349.0,3740000.0,Regression,0.1,291680
892.0,185077.0,3750000.0,Regression,0.1,291680
900.0,185829.0,3760000.0,Regression,0.1,291680
907.0,186581.0,3770000.0,Regression,0.1,291680
913.0,187331.0,3780000.0,Regression,0.1,291680
917.0,188086.0,3790000.0,Regression,0.1,291680
925.0,188868.0,3800000.0,Regression,0.1,291680
929.0,189634.0,3810000.0,Regression,0.1,291680
934.0,190366.0,3820000.0,Regression,0.1,291680
938.0,191053.0,3830000.0,Regression,0.1,291680
947.0,191753.0,3840000.0,Regression,0.1,291680
947.0,192443.0,3850000.0,Regression,0.1,291680
958.0,193145.0,3860000.0,Regression,0.1,291680
962.0,193844.0,3870000.0,Regression,0.1,291680
970.0,194542.0,3880000.0,Regression,0.1,291680
972.0,195228.0,3890000.0,Regression,0.1,291680
978.0,195865.0,3900000.0,Regression,0.1,291680
982.0,196615.0,3910000.0,Regression,0.1,291680
987.0,197354.0,3920000.0,Regression,0.1,291680
994.0,198071.0,3930000.0,Regression,0.1,291680
997.0,198692.0,3940000.0,Regression,0.1,291680
1005.0,199363.0,3950000.0,Regression,0.1,291680
1012.0,200021.0,3960000.0,Regression,0.1,291680
1015.0,200606.0,3970000.0,Regression,0.1,291680
1018.0,201170.0,3980000.0,Regression,0.1,291680
1020.0,201778.0,3990000.0,Regression,0.1,291680
1024.0,202363.0,4000000.0,Regression,0.1,291680
1026.0,202949.0,4010000.0,Regression,0.1,291680
1029.0,203587.0,4020000.0,Regression,0.1,291680
1033.0,204134.0,4030000.0,Regression,0.1,291680
1036.0,204735.0,4040000.0,Regression,0.1,291680
1037.0,205321.0,4050000.0,Regression,0.1,291680
1041.0,205854.0,4060000.0,Regression,0.1,291680
1045.0,206389.0,4070000.0,Regression,0.1,291680
1048.0,206884.0,4080000.0,Regression,0.1,291680
1052.0,207414.0,4090000.0,Regression,0.1,291680
1059.0,207942.0,4100000.0,Regression,0.1,291680
1065.0,208488.0,4110000.0,Regression,0.1,291680
