Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize
45.0,25853.0,3540000.0,Regression,0.01,29168
46.0,25883.0,3550000.0,Regression,0.01,29168
48.0,25917.0,3560000.0,Regression,0.01,29168
48.0,25953.0,3570000.0,Regression,0.01,29168
49.0,25979.0,3580000.0,Regression,0.01,29168
50.0,26011.0,3590000.0,Regression,0.01,29168
52.0,26049.0,3600000.0,Regression,0.01,29168
52.0,26074.0,3610000.0,Regression,0.01,29168
52.0,26106.0,3620000.0,Regression,0.01,29168
53.0,26132.0,3630000.0,Regression,0.01,29168
53.0,26161.0,3640000.0,Regression,0.01,29168
53.0,26202.0,3650000.0,Regression,0.01,29168
54.0,26250.0,3660000.0,Regression,0.01,29168
55.0,26290.0,3670000.0,Regression,0.01,29168
55.0,26343.0,3680000.0,Regression,0.01,29168
55.0,26384.0,3690000.0,Regression,0.01,29168
56.0,26418.0,3700000.0,Regression,0.01,29168
57.0,26473.0,3710000.0,Regression,0.01,29168
57.0,26520.0,3720000.0,Regression,0.01,29168
57.0,26580.0,3730000.0,Regression,0.01,29168
57.0,26634.0,3740000.0,Regression,0.01,29168
57.0,26666.0,3750000.0,Regression,0.01,29168
57.0,26702.0,3760000.0,Regression,0.01,29168
57.0,26734.0,3770000.0,Regression,0.01,29168
58.0,26785.0,3780000.0,Regression,0.01,29168
58.0,26814.0,3790000.0,Regression,0.01,29168
58.0,26860.0,3800000.0,Regression,0.01,29168
58.0,26907.0,3810000.0,Regression,0.01,29168
60.0,26937.0,3820000.0,Regression,0.01,29168
60.0,26963.0,3830000.0,Regression,0.01,29168
61.0,26998.0,3840000.0,Regression,0.01,29168
61.0,27022.0,3850000.0,Regression,0.01,29168
61.0,27053.0,3860000.0,Regression,0.01,29168
63.0,27089.0,3870000.0,Regression,0.01,29168
64.0,27125.0,3880000.0,Regression,0.01,29168
64.0,27160.0,3890000.0,Regression,0.01,29168
64.0,27194.0,3900000.0,Regression,0.01,29168
64.0,27232.0,3910000.0,Regression,0.01,29168
64.0,27260.0,3920000.0,Regression,0.01,29168
65.0,27293.0,3930000.0,Regression,0.01,29168
65.0,27335.0,3940000.0,Regression,0.01,29168
65.0,27387.0,3950000.0,Regression,0.01,29168
65.0,27427.0,3960000.0,Regression,0.01,29168
65.0,27456.0,3970000.0,Regression,0.01,29168
65.0,27490.0,3980000.0,Regression,0.01,29168
66.0,27512.0,3990000.0,Regression,0.01,29168
67.0,27545.0,4000000.0,Regression,0.01,29168
68.0,27576.0,4010000.0,Regression,0.01,29168
68.0,27599.0,4020000.0,Regression,0.01,29168
69.0,27627.0,4030000.0,Regression,0.01,29168
69.0,27651.0,4040000.0,Regression,0.01,29168
69.0,27679.0,4050000.0,Regression,0.01,29168
69.0,27701.0,4060000.0,Regression,0.01,29168
69.0,27726.0,4070000.0,Regression,0.01,29168
69.0,27747.0,4080000.0,Regression,0.01,29168
70.0,27775.0,4090000.0,Regression,0.01,29168
70.0,27794.0,4100000.0,Regression,0.01,29168
70.0,27824.0,4110000.0,Regression,0.01,29168
