Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha
42.0,21952.0,1380000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529491851.0,0.01
42.0,22094.0,1390000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529491921.0,0.01
43.0,22245.0,1400000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529491993.0,0.01
43.0,22365.0,1410000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529492066.0,0.01
43.0,22491.0,1420000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529492140.0,0.01
44.0,22618.0,1430000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529492215.0,0.01
44.0,22741.0,1440000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529492289.0,0.01
44.0,22907.0,1450000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529492368.0,0.01
45.0,23033.0,1460000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529492448.0,0.01
45.0,23167.0,1470000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529492529.0,0.01
47.0,23318.0,1480000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529492610.0,0.01
48.0,23469.0,1490000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529492694.0,0.01
48.0,23614.0,1500000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529492774.0,0.01
48.0,23739.0,1510000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529492855.0,0.01
48.0,23871.0,1520000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529492937.0,0.01
49.0,24011.0,1530000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529493020.0,0.01
49.0,24156.0,1540000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529493104.0,0.01
49.0,24268.0,1550000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529493186.0,0.01
49.0,24412.0,1560000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529493270.0,0.01
51.0,24566.0,1570000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529493356.0,0.01
51.0,24703.0,1580000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529493442.0,0.01
53.0,24827.0,1590000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529493526.0,0.01
54.0,24974.0,1600000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529493611.0,0.01
54.0,25115.0,1610000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529493697.0,0.01
54.0,25246.0,1620000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529493781.0,0.01
54.0,25391.0,1630000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529493863.0,0.01
54.0,25497.0,1640000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529493948.0,0.01
54.0,25635.0,1650000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529494031.0,0.01
55.0,25769.0,1660000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529494116.0,0.01
56.0,25913.0,1670000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529494204.0,0.01
56.0,26038.0,1680000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529494290.0,0.01
57.0,26182.0,1690000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529494376.0,0.01
58.0,26328.0,1700000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529494462.0,0.01
60.0,26486.0,1710000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529494551.0,0.01
61.0,26636.0,1720000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529494637.0,0.01
61.0,26777.0,1730000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529494722.0,0.01
61.0,26925.0,1740000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529494810.0,0.01
61.0,27059.0,1750000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529494897.0,0.01
64.0,27212.0,1760000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529494986.0,0.01
66.0,27364.0,1770000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529495075.0,0.01
66.0,27519.0,1780000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529495164.0,0.01
66.0,27676.0,1790000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529495253.0,0.01
66.0,27827.0,1800000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529495344.0,0.01
66.0,27975.0,1810000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529495435.0,0.01
66.0,28110.0,1820000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529495529.0,0.01
66.0,28258.0,1830000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529495626.0,0.01
66.0,28397.0,1840000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529495724.0,0.01
66.0,28521.0,1850000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529495824.0,0.01
66.0,28664.0,1860000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529495927.0,0.01
66.0,28784.0,1870000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529496027.0,0.01
68.0,28932.0,1880000.0,LinUCB_Disjoint_clustered_10,0.02,58336,1529496130.0,0.01
