Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp,Alpha,TrainPart,MSE,CumulativeMSE
31.0,18845.0,1140000.0,Random_0_1,0.02,58336,1529490283.0,0.0001,0.02,0.5045,0.29743157929824565
31.0,19011.0,1150000.0,Random_0_1,0.02,58336,1529490346.0,0.0001,0.02,0.5011,0.2992026090434783
32.0,19187.0,1160000.0,Random_0_1,0.02,58336,1529490408.0,0.0001,0.02,0.5013,0.3009448279310345
32.0,19355.0,1170000.0,Random_0_1,0.02,58336,1529490471.0,0.0001,0.02,0.5089,0.3027222225641026
32.0,19491.0,1180000.0,Random_0_1,0.02,58336,1529490534.0,0.0001,0.02,0.5033,0.30442203423728814
32.0,19639.0,1190000.0,Random_0_1,0.02,58336,1529490599.0,0.0001,0.02,0.503,0.3060907566386555
32.0,19796.0,1200000.0,Random_0_1,0.02,58336,1529490664.0,0.0001,0.02,0.4933,0.3076508336666667
33.0,19941.0,1210000.0,Random_0_1,0.02,58336,1529490730.0,0.0001,0.02,0.496,0.30920743834710746
33.0,20085.0,1220000.0,Random_0_1,0.02,58336,1529490795.0,0.0001,0.02,0.5043,0.31080655770491805
33.0,20248.0,1230000.0,Random_0_1,0.02,58336,1529490860.0,0.0001,0.02,0.5087,0.3124154474796748
33.0,20389.0,1240000.0,Random_0_1,0.02,58336,1529490923.0,0.0001,0.02,0.495,0.31388790354838714
33.0,20547.0,1250000.0,Random_0_1,0.02,58336,1529490984.0,0.0001,0.02,0.4987,0.31536640032
33.0,20666.0,1260000.0,Random_0_1,0.02,58336,1529491047.0,0.0001,0.02,0.4978,0.31681428603174605
33.0,20801.0,1270000.0,Random_0_1,0.02,58336,1529491110.0,0.0001,0.02,0.4934,0.31820472472440947
33.0,20963.0,1280000.0,Random_0_1,0.02,58336,1529491174.0,0.0001,0.02,0.5119,0.3197179690625
33.0,21136.0,1290000.0,Random_0_1,0.02,58336,1529491238.0,0.0001,0.02,0.5054,0.3211573646511628
33.0,21292.0,1300000.0,Random_0_1,0.02,58336,1529491304.0,0.0001,0.02,0.4949,0.3224938464615385
33.0,21417.0,1310000.0,Random_0_1,0.02,58336,1529491370.0,0.0001,0.02,0.4892,0.323766412519084
33.0,21522.0,1320000.0,Random_0_1,0.02,58336,1529491436.0,0.0001,0.02,0.5026,0.3251212124242424
33.0,21665.0,1330000.0,Random_0_1,0.02,58336,1529491503.0,0.0001,0.02,0.4995,0.32643233112781955
33.0,21808.0,1340000.0,Random_0_1,0.02,58336,1529491568.0,0.0001,0.02,0.5068,0.3277783585074627
33.0,21931.0,1350000.0,Random_0_1,0.02,58336,1529491638.0,0.0001,0.02,0.5014,0.32906444474074076
34.0,22064.0,1360000.0,Random_0_1,0.02,58336,1529491708.0,0.0001,0.02,0.491,0.3302551473529412
34.0,22181.0,1370000.0,Random_0_1,0.02,58336,1529491779.0,0.0001,0.02,0.5015,0.33150510978102193
34.0,22322.0,1380000.0,Random_0_1,0.02,58336,1529491851.0,0.0001,0.02,0.5102,0.33280000028985507
34.0,22477.0,1390000.0,Random_0_1,0.02,58336,1529491921.0,0.0001,0.02,0.5072,0.33405467654676263
34.0,22612.0,1400000.0,Random_0_1,0.02,58336,1529491993.0,0.0001,0.02,0.4998,0.3352385717142857
34.0,22784.0,1410000.0,Random_0_1,0.02,58336,1529492066.0,0.0001,0.02,0.5015,0.33641773078014187
35.0,22926.0,1420000.0,Random_0_1,0.02,58336,1529492140.0,0.0001,0.02,0.4982,0.3375570425352113
35.0,23062.0,1430000.0,Random_0_1,0.02,58336,1529492215.0,0.0001,0.02,0.5012,0.3387013988811189
36.0,23209.0,1440000.0,Random_0_1,0.02,58336,1529492289.0,0.0001,0.02,0.4946,0.3397840280555556
36.0,23385.0,1450000.0,Random_0_1,0.02,58336,1529492368.0,0.0001,0.02,0.4961,0.34086206924137935
37.0,23566.0,1460000.0,Random_0_1,0.02,58336,1529492448.0,0.0001,0.02,0.5042,0.34198082219178083
37.0,23780.0,1470000.0,Random_0_1,0.02,58336,1529492529.0,0.0001,0.02,0.5134,0.34314693904761906
37.0,23995.0,1480000.0,Random_0_1,0.02,58336,1529492610.0,0.0001,0.02,0.5058,0.34424594621621624
37.0,24191.0,1490000.0,Random_0_1,0.02,58336,1529492694.0,0.0001,0.02,0.493,0.3452442955704698
37.0,24374.0,1500000.0,Random_0_1,0.02,58336,1529492774.0,0.0001,0.02,0.4994,0.34627200026666666
37.0,24568.0,1510000.0,Random_0_1,0.02,58336,1529492855.0,0.0001,0.02,0.5092,0.34735099364238414
38.0,24765.0,1520000.0,Random_0_1,0.02,58336,1529492937.0,0.0001,0.02,0.5077,0.3484059213157895
39.0,24948.0,1530000.0,Random_0_1,0.02,58336,1529493020.0,0.0001,0.02,0.4908,0.34933660156862745
39.0,25134.0,1540000.0,Random_0_1,0.02,58336,1529493104.0,0.0001,0.02,0.5057,0.3503519483116883
39.0,25323.0,1550000.0,Random_0_1,0.02,58336,1529493186.0,0.0001,0.02,0.495,0.3512851615483871
39.0,25523.0,1560000.0,Random_0_1,0.02,58336,1529493270.0,0.0001,0.02,0.4957,0.3522108976923077
39.0,25701.0,1570000.0,Random_0_1,0.02,58336,1529493356.0,0.0001,0.02,0.5087,0.353207643566879
39.0,25912.0,1580000.0,Random_0_1,0.02,58336,1529493442.0,0.0001,0.02,0.5013,0.3541449369620253
39.0,26109.0,1590000.0,Random_0_1,0.02,58336,1529493526.0,0.0001,0.02,0.4975,0.3550465411320755
39.0,26320.0,1600000.0,Random_0_1,0.02,58336,1529493611.0,0.0001,0.02,0.4932,0.35591000025
39.0,26541.0,1610000.0,Random_0_1,0.02,58336,1529493697.0,0.0001,0.02,0.5022,0.3568186337888199
39.0,26724.0,1620000.0,Random_0_1,0.02,58336,1529493781.0,0.0001,0.02,0.4959,0.35767716074074074
39.0,26924.0,1630000.0,Random_0_1,0.02,58336,1529493863.0,0.0001,0.02,0.4986,0.35854171803680984
39.0,27115.0,1640000.0,Random_0_1,0.02,58336,1529493948.0,0.0001,0.02,0.505,0.35943475634146344
40.0,27301.0,1650000.0,Random_0_1,0.02,58336,1529494031.0,0.0001,0.02,0.4979,0.36027393963636367
40.0,27510.0,1660000.0,Random_0_1,0.02,58336,1529494116.0,0.0001,0.02,0.4876,0.36104096409638553
41.0,27729.0,1670000.0,Random_0_1,0.02,58336,1529494204.0,0.0001,0.02,0.5036,0.3618946110179641
41.0,27949.0,1680000.0,Random_0_1,0.02,58336,1529494290.0,0.0001,0.02,0.4858,0.3626321430952381
43.0,28177.0,1690000.0,Random_0_1,0.02,58336,1529494376.0,0.0001,0.02,0.4886,0.3633775150295858
43.0,28412.0,1700000.0,Random_0_1,0.02,58336,1529494462.0,0.0001,0.02,0.5036,0.3642023531764706
43.0,28601.0,1710000.0,Random_0_1,0.02,58336,1529494551.0,0.0001,0.02,0.4997,0.3649947370760234
43.0,28825.0,1720000.0,Random_0_1,0.02,58336,1529494637.0,0.0001,0.02,0.4908,0.36572616302325583
43.0,29023.0,1730000.0,Random_0_1,0.02,58336,1529494722.0,0.0001,0.02,0.492,0.36645606959537574
43.0,29202.0,1740000.0,Random_0_1,0.02,58336,1529494810.0,0.0001,0.02,0.4879,0.3671540232183908
43.0,29421.0,1750000.0,Random_0_1,0.02,58336,1529494897.0,0.0001,0.02,0.4944,0.3678811430857143
