Clicks,Impressions,TotalImpressions,Method,RecommendationSizePercent,RecommendationSize,Timestamp
53.0,11663.0,2370000.0,Regression,0.01,29168,1529501064.0
54.0,11696.0,2380000.0,Regression,0.01,29168,1529501171.0
54.0,11731.0,2390000.0,Regression,0.01,29168,1529501276.0
54.0,11783.0,2400000.0,Regression,0.01,29168,1529501383.0
54.0,11821.0,2410000.0,Regression,0.01,29168,1529501489.0
54.0,11863.0,2420000.0,Regression,0.01,29168,1529501593.0
55.0,11893.0,2430000.0,Regression,0.01,29168,1529501694.0
55.0,11928.0,2440000.0,Regression,0.01,29168,1529501795.0
55.0,11973.0,2450000.0,Regression,0.01,29168,1529501896.0
55.0,12027.0,2460000.0,Regression,0.01,29168,1529502003.0
55.0,12057.0,2470000.0,Regression,0.01,29168,1529502109.0
56.0,12093.0,2480000.0,Regression,0.01,29168,1529502218.0
56.0,12137.0,2490000.0,Regression,0.01,29168,1529502326.0
56.0,12186.0,2500000.0,Regression,0.01,29168,1529502432.0
56.0,12232.0,2510000.0,Regression,0.01,29168,1529502542.0
56.0,12269.0,2520000.0,Regression,0.01,29168,1529502648.0
57.0,12309.0,2530000.0,Regression,0.01,29168,1529502758.0
57.0,12363.0,2540000.0,Regression,0.01,29168,1529502867.0
57.0,12415.0,2550000.0,Regression,0.01,29168,1529502966.0
57.0,12464.0,2560000.0,Regression,0.01,29168,1529503060.0
57.0,12501.0,2570000.0,Regression,0.01,29168,1529503154.0
57.0,12559.0,2580000.0,Regression,0.01,29168,1529503249.0
58.0,12608.0,2590000.0,Regression,0.01,29168,1529503347.0
59.0,12649.0,2600000.0,Regression,0.01,29168,1529503444.0
59.0,12687.0,2610000.0,Regression,0.01,29168,1529503539.0
59.0,12747.0,2620000.0,Regression,0.01,29168,1529503635.0
59.0,12796.0,2630000.0,Regression,0.01,29168,1529503729.0
59.0,12850.0,2640000.0,Regression,0.01,29168,1529503826.0
60.0,12899.0,2650000.0,Regression,0.01,29168,1529503917.0
61.0,12937.0,2660000.0,Regression,0.01,29168,1529504012.0
61.0,12975.0,2670000.0,Regression,0.01,29168,1529504104.0
61.0,13023.0,2680000.0,Regression,0.01,29168,1529504198.0
61.0,13062.0,2690000.0,Regression,0.01,29168,1529504289.0
61.0,13096.0,2700000.0,Regression,0.01,29168,1529504380.0
61.0,13128.0,2710000.0,Regression,0.01,29168,1529504474.0
61.0,13158.0,2720000.0,Regression,0.01,29168,1529504565.0
61.0,13192.0,2730000.0,Regression,0.01,29168,1529504659.0
61.0,13231.0,2740000.0,Regression,0.01,29168,1529504756.0
62.0,13260.0,2750000.0,Regression,0.01,29168,1529504851.0
62.0,13307.0,2760000.0,Regression,0.01,29168,1529504947.0
62.0,13353.0,2770000.0,Regression,0.01,29168,1529505043.0
63.0,13385.0,2780000.0,Regression,0.01,29168,1529505140.0
63.0,13418.0,2790000.0,Regression,0.01,29168,1529505239.0
63.0,13471.0,2800000.0,Regression,0.01,29168,1529505335.0
63.0,13516.0,2810000.0,Regression,0.01,29168,1529505433.0
63.0,13552.0,2820000.0,Regression,0.01,29168,1529505528.0
64.0,13600.0,2830000.0,Regression,0.01,29168,1529505625.0
65.0,13642.0,2840000.0,Regression,0.01,29168,1529505722.0
65.0,13691.0,2850000.0,Regression,0.01,29168,1529505822.0
65.0,13725.0,2860000.0,Regression,0.01,29168,1529505920.0
65.0,13779.0,2870000.0,Regression,0.01,29168,1529506017.0
66.0,13830.0,2880000.0,Regression,0.01,29168,1529506114.0
66.0,13865.0,2890000.0,Regression,0.01,29168,1529506212.0
66.0,13895.0,2900000.0,Regression,0.01,29168,1529506309.0
67.0,13934.0,2910000.0,Regression,0.01,29168,1529506410.0
68.0,13975.0,2920000.0,Regression,0.01,29168,1529506511.0
68.0,14022.0,2930000.0,Regression,0.01,29168,1529506613.0
69.0,14077.0,2940000.0,Regression,0.01,29168,1529506718.0
69.0,14130.0,2950000.0,Regression,0.01,29168,1529506822.0
69.0,14185.0,2960000.0,Regression,0.01,29168,1529506931.0
69.0,14247.0,2970000.0,Regression,0.01,29168,1529507047.0
69.0,14289.0,2980000.0,Regression,0.01,29168,1529507163.0
71.0,14332.0,2990000.0,Regression,0.01,29168,1529507278.0
71.0,14375.0,3000000.0,Regression,0.01,29168,1529507390.0
72.0,14419.0,3010000.0,Regression,0.01,29168,1529507502.0
72.0,14458.0,3020000.0,Regression,0.01,29168,1529507616.0
73.0,14502.0,3030000.0,Regression,0.01,29168,1529507723.0
73.0,14538.0,3040000.0,Regression,0.01,29168,1529507833.0
73.0,14568.0,3050000.0,Regression,0.01,29168,1529507944.0
73.0,14609.0,3060000.0,Regression,0.01,29168,1529508056.0
74.0,14652.0,3070000.0,Regression,0.01,29168,1529508167.0
74.0,14692.0,3080000.0,Regression,0.01,29168,1529508279.0
74.0,14736.0,3090000.0,Regression,0.01,29168,1529508391.0
74.0,14777.0,3100000.0,Regression,0.01,29168,1529508503.0
74.0,14811.0,3110000.0,Regression,0.01,29168,1529508612.0
74.0,14858.0,3120000.0,Regression,0.01,29168,1529508730.0
74.0,14895.0,3130000.0,Regression,0.01,29168,1529508849.0
74.0,14931.0,3140000.0,Regression,0.01,29168,1529508964.0
75.0,14971.0,3150000.0,Regression,0.01,29168,1529509083.0
75.0,15025.0,3160000.0,Regression,0.01,29168,1529509203.0
75.0,15063.0,3170000.0,Regression,0.01,29168,1529509321.0
75.0,15093.0,3180000.0,Regression,0.01,29168,1529509443.0
75.0,15130.0,3190000.0,Regression,0.01,29168,1529509564.0
75.0,15158.0,3200000.0,Regression,0.01,29168,1529509685.0
75.0,15199.0,3210000.0,Regression,0.01,29168,1529509804.0
75.0,15234.0,3220000.0,Regression,0.01,29168,1529509922.0
75.0,15294.0,3230000.0,Regression,0.01,29168,1529510043.0
75.0,15329.0,3240000.0,Regression,0.01,29168,1529510165.0
75.0,15371.0,3250000.0,Regression,0.01,29168,1529510285.0
75.0,15413.0,3260000.0,Regression,0.01,29168,1529510405.0
75.0,15460.0,3270000.0,Regression,0.01,29168,1529510528.0
76.0,15485.0,3280000.0,Regression,0.01,29168,1529510650.0
76.0,15520.0,3290000.0,Regression,0.01,29168,1529510774.0
77.0,15561.0,3300000.0,Regression,0.01,29168,1529510902.0
78.0,15602.0,3310000.0,Regression,0.01,29168,1529511024.0
78.0,15632.0,3320000.0,Regression,0.01,29168,1529511140.0
78.0,15660.0,3330000.0,Regression,0.01,29168,1529511255.0
78.0,15699.0,3340000.0,Regression,0.01,29168,1529511367.0
79.0,15737.0,3350000.0,Regression,0.01,29168,1529511477.0
80.0,15800.0,3360000.0,Regression,0.01,29168,1529511592.0
80.0,15856.0,3370000.0,Regression,0.01,29168,1529511707.0
80.0,15906.0,3380000.0,Regression,0.01,29168,1529511819.0
82.0,15960.0,3390000.0,Regression,0.01,29168,1529511931.0
82.0,16009.0,3400000.0,Regression,0.01,29168,1529512045.0
84.0,16054.0,3410000.0,Regression,0.01,29168,1529512159.0
85.0,16095.0,3420000.0,Regression,0.01,29168,1529512273.0
86.0,16138.0,3430000.0,Regression,0.01,29168,1529512389.0
86.0,16174.0,3440000.0,Regression,0.01,29168,1529512503.0
88.0,16208.0,3450000.0,Regression,0.01,29168,1529512615.0
88.0,16240.0,3460000.0,Regression,0.01,29168,1529512730.0
91.0,16278.0,3470000.0,Regression,0.01,29168,1529512846.0
91.0,16324.0,3480000.0,Regression,0.01,29168,1529512960.0
91.0,16381.0,3490000.0,Regression,0.01,29168,1529513080.0
