Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,TrainPart,RecommendationPart
Local,4267029,1534327200000,0,117653,73981,47335,41913,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,4267029,1534327200000,-36710,117653,73981,47335,41913,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,5314011,1534348800000,0,54924,59604,20710,15218,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,5314011,1534348800000,-36710,54924,59604,20710,15218,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,5726250,1534363199000,0,13602,53248,9089,5357,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,5726250,1534363199000,-36710,13602,53248,9089,5357,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,5979990,1534384801000,0,13602,53248,9089,5357,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,5979990,1534384801000,-36710,13602,53248,9089,5357,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,6226740,1534396425000,0,0,25150,5528,3943,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,6226740,1534396425000,-36710,0,25150,5528,3943,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,6599942,1534403753000,0,0,6125,4042,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,6599942,1534403753000,-36710,-29843,6125,4042,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,6734652,1534406401000,0,0,110,2148,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,6734652,1534406401000,-36710,-38094,110,2148,-1535,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,6737481,1534406457000,0,0,0,2107,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,6737481,1534406457000,-36710,-38261,0,2107,-1574,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,6865695,1534409019000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,6865695,1534409019000,-36710,-46154,-3617,0,-2904,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,7863533,1534428001000,-36710,-94303,-44092,-16454,-12952,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Global,8560378,1534449599000,-36710,-127839,-73939,-31031,-21336,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,NO_SPLIT,1,True,0.0,0.0
Local,356003,1534208400000,39362,110044,45081,36046,43511,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Global,356003,1534208400000,118086,330134,135244,108140,130534,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
Local,919597,1534230000000,27001,77756,28924,29092,34021,LinUCB_Disjoint_Multi_Target,6,0.1,0.0,1,DAILY,1,False,0.0,0.0
