CampaignId,Impressions,Clicks,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,CropPercent,NormalizeTargetValue,TrainPart,RecommendationPart
865041,318207.0,588.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.1,False,0.0,0.0
858140,354462.0,259.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.1,False,0.0,0.0
847460,281224.0,692.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.2,False,0.0,0.0
856805,883398.0,2819.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.2,False,0.0,0.0
866128,354784.0,631.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.2,False,0.0,0.0
865041,294578.0,575.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.2,False,0.0,0.0
858140,356617.0,249.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.2,False,0.0,0.0
847460,285196.0,694.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.2,False,0.0,0.0
856805,1112621.0,2829.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.2,False,0.0,0.0
866128,348678.0,669.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.2,False,0.0,0.0
865041,340717.0,616.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.2,False,0.0,0.0
858140,354099.0,255.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.2,False,0.0,0.0
847460,281789.0,720.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.4,False,0.0,0.0
856805,883217.0,2749.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.4,False,0.0,0.0
866128,354275.0,621.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.4,False,0.0,0.0
865041,294441.0,582.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.4,False,0.0,0.0
858140,363104.0,278.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.4,False,0.0,0.0
847460,271174.0,574.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.4,False,0.0,0.0
856805,1141124.0,3024.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.4,False,0.0,0.0
866128,348157.0,675.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.4,False,0.0,0.0
865041,317263.0,607.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.4,False,0.0,0.0
858140,364427.0,279.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.4,False,0.0,0.0
847460,497844.0,1484.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.0,True,0.0,0.0
856805,641851.0,2234.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.0,True,0.0,0.0
866128,316090.0,606.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.0,True,0.0,0.0
865041,257617.0,549.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.0,True,0.0,0.0
858140,348830.0,332.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,True,0.0,True,0.0,0.0
847460,497844.0,1484.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.0,True,0.0,0.0
856805,641851.0,2234.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.0,True,0.0,0.0
866128,316090.0,606.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.0,True,0.0,0.0
865041,257617.0,549.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.0,True,0.0,0.0
858140,348830.0,332.0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,1,DAILY,1,False,0.0,True,0.0,0.0
847460,431097.0,499.0,Random_Multi,6,0.0,0.0,0.2,0.0
856805,1242502.0,1451.0,Random_Multi,6,0.0,0.0,0.2,0.0
866128,503702.0,564.0,Random_Multi,6,0.0,0.0,0.2,0.0
865041,415573.0,466.0,Random_Multi,6,0.0,0.0,0.2,0.0
858140,493148.0,319.0,Random_Multi,6,0.0,0.0,0.2,0.0
847460,452567.0,1478.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
856805,606589.0,2148.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
866128,337621.0,650.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
865041,290229.0,601.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
858140,373912.0,333.0,LinUCB_Disjoint_Multi,6,0.1,0.0,0.0,0.0
