Daily,919597,1534230000000,85909.0,234936.0,63534.0,68044.0,94429.0,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Total,919597,1534230000000,85909,234936,63534,68044,94429,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Daily,2159970,1534251600000,37613.0,177406.0,32499.0,37286.0,73742.0,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Total,2159970,1534251600000,37613,177406,32499,37286,73742,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Daily,2912107,1534273200000,1357.0,132676.0,11526.0,10385.0,59003.0,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Total,2912107,1534273200000,1357,132676,11526,10385,59003,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Daily,3176462,1534283997000,0,114551.0,62.0,1342.0,53020.0,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Total,3176462,1534283997000,-11278,114551,62,1342,53020,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Daily,3361164,1534305600000,0,114472.0,0,1273.0,53009.0,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Total,3361164,1534305600000,-11306,114472,-29,1273,53009,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Daily,4267029,1534327200000,0,60270.0,0,0,33469.0,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Total,4267029,1534327200000,-41527,60270,-27990,-28875,33469,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Daily,5314011,1534348800000,0,2384.0,0,0,15128.0,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Total,5314011,1534348800000,-81140,2384,-69283,-54271,15128,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Daily,5726250,1534363199000,0,0,0,0,4218.0,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Total,5726250,1534363199000,-96489,-35042,-83748,-70198,4218,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Daily,5979990,1534384801000,0,0,0,0,4178.0,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Total,5979990,1534384801000,-96569,-35189,-83875,-70238,4178,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Daily,6734652,1534406401000,0,0,0,0,0,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Total,6734652,1534406401000,-120380,-73832,-124421,-89230,-8332,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Daily,7863533,1534428001000,0,0,0,0,0,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Total,7863533,1534428001000,-156978,-128718,-162010,-118205,-27492,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Daily,8560378,1534449599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
Total,8560378,1534449599000,-190211,-177345,-189811,-144244,-44082,LinUCB_Disjoint_Multi_Mix,6,1e-05,0.0,0.2,0.2
