Type,Timestamp,TotalImpressions,847460,856805,866128,865041,858140,Method,Hours,Alpha,EqClicks,TargetPercent,TargetSplit,TargetAlpha,EarlyUpdate,CropPercent,NormalizeTargetValue,TrainPart,RecommendationPart
Local,5979990,1534384801000,0,188580,95824,68679,56904,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,5979990,1534384801000,0,188580,95824,68679,56904,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,6734652,1534406401000,0,138163,67263,49741,46365,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,6734652,1534406401000,0,138163,67263,49741,46365,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,7863533,1534428001000,0,70553,36513,28442,25243,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,7863533,1534428001000,0,70553,36513,28442,25243,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,8560378,1534449599000,0,29641,13741,13601,11437,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,8560378,1534449599000,0,29641,13741,13601,11437,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,8791759,1534467689000,0,19580,0,6514,10071,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,8791759,1534467689000,0,19580,0,6514,10071,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,8811097,1534471200000,0,18948,0,5480,9946,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,8811097,1534471200000,0,18948,0,5480,9946,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,9025839,1534482426000,0,7731,0,0,629,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,9025839,1534482426000,0,7731,0,0,629,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,9034811,1534482667000,0,6166,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,9034811,1534482667000,0,6166,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,9050670,1534483060000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,9050670,1534483060000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,9572684,1534492800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,9572684,1534492800000,-113873,-10285,-1683,-538,-1097,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,10549106,1534514400000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,10549106,1534514400000,-147067,-53473,-13904,-13716,-9208,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,11220337,1534536000000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,11220337,1534536000000,-169498,-91416,-24471,-22099,-16629,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,11331020,1534539599000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,11331020,1534539599000,-174158,-96830,-27270,-24422,-17795,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,11538116,1534561200000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Global,11538116,1534561200000,-182747,-109291,-31099,-30663,-19686,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
Local,12131153,1534582800000,0,0,0,0,0,LinUCB_Disjoint_Multi_Target_Full,6,0.1,0.0,0.6,NO_SPLIT,1,True,0.0,False,0.0,0.0
